export_id,gender,age,edu,smoke,drink
62036,female,20.0,bachelor's degree,never smokes,never drinks
62037,female,21.0,bachelor's degree,never smokes,never drinks
62038,male,19.0,bachelor's degree,never smokes,never drinks
62039,female,20.0,bachelor's degree,never smokes,never drinks
62040,female,20.0,bachelor's degree,never smokes,never drinks
62041,female,18.0,bachelor's degree,never smokes,never drinks
62042,female,20.0,bachelor's degree,never smokes,never drinks
62043,female,21.0,bachelor's degree,never smokes,never drinks
62044,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62045,female,19.0,bachelor's degree,never smokes,never drinks
62046,female,18.0,bachelor's degree,never smokes,never drinks
62047,female,20.0,bachelor's degree,never smokes,never drinks
62048,male,18.0,bachelor's degree,never smokes,never drinks
62049,male,19.0,bachelor's degree,never smokes,never drinks
62050,female,23.0,bachelor's degree,never smokes,never drinks
62051,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62052,female,18.0,bachelor's degree,never smokes,never drinks
62053,male,21.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
62054,female,21.0,bachelor's degree,never smokes,never drinks
62055,female,21.0,bachelor's degree,never smokes,never drinks
62056,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62057,female,20.0,bachelor's degree,never smokes,never drinks
62058,male,20.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
62059,male,21.0,bachelor's degree,never smokes,never drinks
62060,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62061,male,20.0,bachelor's degree,never smokes,never drinks
62062,female,17.0,bachelor's degree,never smokes,never drinks
62063,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62064,female,19.0,bachelor's degree,never smokes,never drinks
62065,female,21.0,bachelor's degree,never smokes,never drinks
62066,female,20.0,bachelor's degree,never smokes,never drinks
62067,female,20.0,bachelor's degree,never smokes,never drinks
62068,female,20.0,bachelor's degree,never smokes,never drinks
62069,female,18.0,bachelor's degree,never smokes,never drinks
62070,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62071,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62072,male,18.0,bachelor's degree,never smokes,never drinks
62073,female,19.0,bachelor's degree,never smokes,never drinks
62074,female,21.0,bachelor's degree,never smokes,never drinks
62075,female,20.0,bachelor's degree,never smokes,never drinks
62076,female,19.0,bachelor's degree,never smokes,never drinks
62077,male,20.0,bachelor's degree,never smokes,never drinks
62078,male,18.0,bachelor's degree,never smokes,never drinks
62079,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62080,female,18.0,bachelor's degree,never smokes,never drinks
62081,female,20.0,bachelor's degree,never smokes,never drinks
62082,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62083,female,18.0,bachelor's degree,never smokes,never drinks
62084,female,21.0,bachelor's degree,never smokes,never drinks
62085,male,18.0,bachelor's degree,never smokes,never drinks
62086,female,20.0,bachelor's degree,never smokes,never drinks
62087,male,18.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
62088,female,20.0,bachelor's degree,never smokes,never drinks
62089,female,20.0,bachelor's degree,never smokes,never drinks
62090,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62091,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62092,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62093,female,20.0,bachelor's degree,never smokes,never drinks
62094,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62095,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62096,female,19.0,bachelor's degree,never smokes,never drinks
62097,male,20.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
62098,male,19.0,bachelor's degree,never smokes,never drinks
62099,female,18.0,bachelor's degree,never smokes,never drinks
62100,male,21.0,bachelor's degree,never smokes,never drinks
62101,female,20.0,bachelor's degree,never smokes,never drinks
62102,female,18.0,bachelor's degree,never smokes,never drinks
62103,male,22.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
62104,female,22.0,bachelor's degree,never smokes,never drinks
62105,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62106,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62107,male,19.0,bachelor's degree,never smokes,never drinks
62108,female,18.0,bachelor's degree,never smokes,never drinks
62109,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62110,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62111,male,20.0,bachelor's degree,never smokes,never drinks
62112,male,18.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
62113,male,24.0,bachelor's degree,current smoker (cumulative smoking >10 packs),current regular drinker (more than once a week)
62114,female,19.0,bachelor's degree,never smokes,never drinks
62115,male,22.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62116,male,19.0,bachelor's degree,never smokes,never drinks
62117,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62118,female,19.0,bachelor's degree,never smokes,never drinks
62119,female,21.0,bachelor's degree,never smokes,never drinks
62120,female,18.0,bachelor's degree,never smokes,never drinks
62121,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62122,female,19.0,bachelor's degree,never smokes,never drinks
62123,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62124,male,18.0,bachelor's degree,never smokes,never drinks
62125,female,20.0,bachelor's degree,never smokes,never drinks
62126,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62127,female,19.0,bachelor's degree,never smokes,never drinks
62128,female,18.0,bachelor's degree,never smokes,never drinks
62129,male,19.0,bachelor's degree,never smokes,never drinks
62130,female,19.0,bachelor's degree,never smokes,never drinks
62131,female,20.0,bachelor's degree,never smokes,never drinks
62132,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62133,male,17.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
62134,male,20.0,bachelor's degree,never smokes,never drinks
62135,female,21.0,bachelor's degree,never smokes,never drinks
62136,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62137,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62138,female,19.0,bachelor's degree,never smokes,never drinks
62139,male,21.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
62140,female,20.0,bachelor's degree,never smokes,never drinks
62141,female,19.0,bachelor's degree,never smokes,never drinks
62142,female,20.0,bachelor's degree,never smokes,never drinks
62143,male,18.0,bachelor's degree,never smokes,never drinks
62144,male,20.0,bachelor's degree,never smokes,never drinks
62145,female,20.0,bachelor's degree,never smokes,never drinks
62146,male,18.0,bachelor's degree,never smokes,never drinks
62147,male,19.0,bachelor's degree,never smokes,never drinks
62148,female,19.0,bachelor's degree,never smokes,never drinks
62149,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62150,female,19.0,bachelor's degree,never smokes,never drinks
62151,female,19.0,bachelor's degree,never smokes,never drinks
62152,male,20.0,bachelor's degree,never smokes,never drinks
62153,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62154,male,20.0,bachelor's degree,never smokes,never drinks
62155,female,18.0,bachelor's degree,never smokes,never drinks
62156,female,20.0,bachelor's degree,never smokes,never drinks
62301,female,18.0,bachelor's degree,never smokes,never drinks
62365,female,20.0,bachelor's degree,never smokes,never drinks
62157,female,20.0,bachelor's degree,never smokes,never drinks
62158,male,20.0,bachelor's degree,never smokes,never drinks
62159,female,18.0,bachelor's degree,never smokes,never drinks
62160,female,19.0,bachelor's degree,never smokes,never drinks
62161,male,18.0,bachelor's degree,occasional smoker (cumulative smoking <10 packs),drinks occasionally (less than once a week)
62162,female,19.0,bachelor's degree,never smokes,never drinks
62163,female,22.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62164,female,18.0,bachelor's degree,never smokes,never drinks
62165,female,20.0,bachelor's degree,never smokes,never drinks
62166,female,17.0,bachelor's degree,never smokes,never drinks
62167,female,20.0,bachelor's degree,never smokes,never drinks
62168,male,20.0,bachelor's degree,never smokes,never drinks
62169,female,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62170,male,18.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
62171,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62172,male,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62173,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62174,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62175,male,21.0,bachelor's degree,never smokes,never drinks
62176,male,22.0,bachelor's degree,never smokes,never drinks
62177,female,19.0,bachelor's degree,never smokes,never drinks
62178,female,19.0,bachelor's degree,never smokes,never drinks
62179,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62180,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
62181,female,20.0,bachelor's degree,never smokes,never drinks
62182,female,19.0,bachelor's degree,never smokes,never drinks
62183,female,19.0,bachelor's degree,never smokes,never drinks
62184,female,18.0,bachelor's degree,never smokes,never drinks
